"Group","Hand_Notation","Expanded_Hands"
"5","T8s","[[""10h"", ""8h""], [""10d"", ""8d""], [""10c"", ""8c""], [""10s"", ""8s""]]"
"5","97s","[[""9h"", ""7h""], [""9d"", ""7d""], [""9c"", ""7c""], [""9s"", ""7s""]]"
"5","87s","[[""8h"", ""7h""], [""8d"", ""7d""], [""8c"", ""7c""], [""8s"", ""7s""]]"
"5","77","[[""7h"", ""7d""], [""7h"", ""7c""], [""7h"", ""7s""], [""7d"", ""7c""], [""7d"", ""7s""], [""7c"", ""7s""]]"
"5","76s","[[""7h"", ""6h""], [""7d"", ""6d""], [""7c"", ""6c""], [""7s"", ""6s""]]"
"5","66","[[""6h"", ""6d""], [""6h"", ""6c""], [""6h"", ""6s""], [""6d"", ""6c""], [""6d"", ""6s""], [""6c"", ""6s""]]"
"6","AT","[[""Ah"", ""10d""], [""Ah"", ""10c""], [""Ah"", ""10s""], [""Ad"", ""10h""], [""Ad"", ""10c""], [""Ad"", ""10s""], [""Ac"", ""10h""], [""Ac"", ""10d""], [""Ac"", ""10s""], [""As"", ""10h""], [""As"", ""10d""], [""As"", ""10c""]]"
"6","KT","[[""Kh"", ""10d""], [""Kh"", ""10c""], [""Kh"", ""10s""], [""Kd"", ""10h""], [""Kd"", ""10c""], [""Kd"", ""10s""], [""Kc"", ""10h""], [""Kc"", ""10d""], [""Kc"", ""10s""], [""Ks"", ""10h""], [""Ks"", ""10d""], [""Ks"", ""10c""]]"
"6","QT","[[""Qh"", ""10d""], [""Qh"", ""10c""], [""Qh"", ""10s""], [""Qd"", ""10h""], [""Qd"", ""10c""], [""Qd"", ""10s""], [""Qc"", ""10h""], [""Qc"", ""10d""], [""Qc"", ""10s""], [""Qs"", ""10h""], [""Qs"", ""10d""], [""Qs"", ""10c""]]"
"6","J8s","[[""Jh"", ""8h""], [""Jd"", ""8d""], [""Jc"", ""8c""], [""Js"", ""8s""]]"
"6","86s","[[""8h"", ""6h""], [""8d"", ""6d""], [""8c"", ""6c""], [""8s"", ""6s""]]"
"6","75s","[[""7h"", ""5h""], [""7d"", ""5d""], [""7c"", ""5c""], [""7s"", ""5s""]]"
"6","65s","[[""6h"", ""5h""], [""6d"", ""5d""], [""6c"", ""5c""], [""6s"", ""5s""]]"
"6","55","[[""5h"", ""5d""], [""5h"", ""5c""], [""5h"", ""5s""], [""5d"", ""5c""], [""5d"", ""5s""], [""5c"", ""5s""]]"
"6","54s","[[""5h"", ""4h""], [""5d"", ""4d""], [""5c"", ""4c""], [""5s"", ""4s""]]"
"7","K9s - K2s","[[""Kh"", ""2h""], [""Kd"", ""2d""], [""Kc"", ""2c""], [""Ks"", ""2s""], [""Kh"", ""3h""], [""Kd"", ""3d""], [""Kc"", ""3c""], [""Ks"", ""3s""], [""Kh"", ""4h""], [""Kd"", ""4d""], [""Kc"", ""4c""], [""Ks"", ""4s""], [""Kh"", ""5h""], [""Kd"", ""5d""], [""Kc"", ""5c""], [""Ks"", ""5s""], [""Kh"", ""6h""], [""Kd"", ""6d""], [""Kc"", ""6c""], [""Ks"", ""6s""], [""Kh"", ""7h""], [""Kd"", ""7d""], [""Kc"", ""7c""], [""Ks"", ""7s""], [""Kh"", ""8h""], [""Kd"", ""8d""], [""Kc"", ""8c""], [""Ks"", ""8s""], [""Kh"", ""9h""], [""Kd"", ""9d""], [""Kc"", ""9c""], [""Ks"", ""9s""]]"
"7","J9","[[""Jh"", ""9d""], [""Jh"", ""9c""], [""Jh"", ""9s""], [""Jd"", ""9h""], [""Jd"", ""9c""], [""Jd"", ""9s""], [""Jc"", ""9h""], [""Jc"", ""9d""], [""Jc"", ""9s""], [""Js"", ""9h""], [""Js"", ""9d""], [""Js"", ""9c""]]"
"7","T9","[[""10h"", ""9d""], [""10h"", ""9c""], [""10h"", ""9s""], [""10d"", ""9h""], [""10d"", ""9c""], [""10d"", ""9s""], [""10c"", ""9h""], [""10c"", ""9d""], [""10c"", ""9s""], [""10s"", ""9h""], [""10s"", ""9d""], [""10s"", ""9c""]]"
"7","98","[[""9h"", ""8d""], [""9h"", ""8c""], [""9h"", ""8s""], [""9d"", ""8h""], [""9d"", ""8c""], [""9d"", ""8s""], [""9c"", ""8h""], [""9c"", ""8d""], [""9c"", ""8s""], [""9s"", ""8h""], [""9s"", ""8d""], [""9s"", ""8c""]]"
"7","64s","[[""6h"", ""4h""], [""6d"", ""4d""], [""6c"", ""4c""], [""6s"", ""4s""]]"
